Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,stableCoinTVL,OverallTVL
2022-01-14,1321145,25197576.2795361,44074087.6277602,16310065.3984582,140874808.139534,23229691.8079689,25251168.2705918,134062589.384315
2022-01-15,1327988,25173730.9506378,44632576.3157523,16610581.4530295,143741315.56566,23265936.7459162,25720836.1208293,135403661.586165
2022-01-16,1334836,24928016.2839961,42887793.5927641,15933002.9805787,138649756.920654,22758042.956908,24757053.0377642,131263908.852011
2022-01-17,1341616,24961950.3299247,39933107.6386782,14793150.0346287,128932697.656218,22373259.6160603,22990964.9476995,125052432.566992
2022-01-18,1348556,24818428.9329304,41763927.822897,14731644.2321219,127815160.670158,22260948.584367,22932494.8705878,126507444.442904
2022-01-19,1355482,24389176.4403041,40675198.8346521,14189130.8523581,123004239.115822,21736572.2098732,22172875.2867399,123162953.623927
2022-01-20,1362368,24053310.341011,38238797.9538356,14140066.0661056,122392851.168292,21465155.0584979,22542280.2139441,120439609.633394
2022-01-21,1369220,20551211.314084,32739284.8004586,12780373.899898,107393800.947324,18864510.4172036,20114175.040183,105049555.471827
2022-01-22,1376066,16317882.8642821,28167143.0743281,11865141.6974157,94439392.386949,16607242.4680175,17473724.0220219,90431134.1260652
2022-01-23,1382988,16849198.8665256,28607261.6356329,11980948.8619274,94935518.67224,16828061.2988723,17867770.5229654,92133241.1859235
2022-01-24,1389889,14899661.7980306,27129449.5442254,11315065.985318,87298180.7047308,15616498.9699958,16469948.6190949,85430624.9166648
2022-01-25,1396806,17827277.5293228,26446092.9877455,11103209.1341024,86461280.809341,17622322.7651584,15477408.7524869,88476311.168816
2022-01-26,1403696,16977301.5664962,24928535.5139513,10568643.466326,82532361.5399662,16721750.3544342,14509392.7488241,83705623.6500319
2022-01-27,1410563,16130280.421866,24184603.5684693,10573141.0953149,81043982.6840934,15549893.9529608,14142682.8298842,80580601.8684952
2022-01-28,1417498,16380470.6550329,25439406.6895957,11004982.272409,84592037.3304165,16104993.5340264,14880990.9017224,83810844.0527864
2022-01-29,1424433,16530233.4057234,25580442.0821281,11160147.3068186,85784744.9657625,16445727.0111625,15030736.6607498,84747286.4665824
2022-01-30,1431336,16734484.6438474,24540560.5773512,10700702.9450488,82116417.2805809,16243529.6520738,14737653.8312245,82956931.6495456
2022-01-31,1438201,16430658.8589112,24495023.2618094,10668833.6459682,82341929.2284404,16197196.9629871,14557891.1736754,82349603.9033513
2022-02-01,1445158,16888401.8355149,25635765.6362726,11034229.4714193,86486337.6924365,16914252.4319557,15404398.358348,85877047.7335106
2022-02-02,1452085,16385550.2420185,23913237.5881557,10349332.2607286,81214369.4891428,16052552.7654453,14365290.9657254,81065963.8220735
2022-02-03,1459034,16206472.9051031,23722176.5718562,10278882.0447593,80562890.5286597,15956458.9961284,14217672.8901901,80381663.4080371
2022-02-04,1465910,17573368.8693133,26122752.919735,11391758.653459,89282685.8458946,17121033.7976546,15827834.0169105,88036748.2570725
2022-02-05,1472341,18115769.0158279,27078582.627233,11849537.8817295,92805683.6091222,17713411.5213494,16398244.6076491,91155545.6537889
2022-02-06,1478495,18433453.8738385,28217627.6629101,12416469.9214775,97155558.5145015,18154593.130057,16889128.3287938,94111272.9170771
2022-02-07,1484572,18710292.6676972,28793182.1316647,12616948.4559454,99906804.2783877,18267153.8637508,17157853.7376618,95545430.8567199
2022-02-08,1489375,18120633.261479,27602819.6596412,12049254.5784081,95491781.4769601,17472359.7561574,16186673.8707501,91431741.1264358
2022-02-09,1493799,18398595.1490103,28125621.3975321,12480553.3056896,97165581.2677397,17803462.8161902,16525057.2909734,93333289.9593956
2022-02-10,1498135,18252208.7572564,28034357.2615594,13414151.0781877,90680859.9226236,17663952.7746873,16628704.0110995,93993373.8827903
2022-02-11,1502412,17183037.7193203,25318044.7633587,12137701.6302466,81730541.2809101,16404820.3465012,15073576.7404291,86117181.1998559
2022-02-12,1506675,16523388.9317497,25340756.2834666,12182443.1266219,83118692.604401,15821602.0320474,15213650.8230231,85081841.1969087
2022-02-13,1510965,16142835.596193,25398301.1935037,12321764.6360089,82176553.8000101,15494594.4618908,15517512.3582881,84875008.2458845
2022-02-14,1515339,15758809.9947716,25800264.2917414,12471673.969788,83664932.6558829,15259546.9325255,15557218.5086037,84847513.6974302
2022-02-15,1519779,16270303.1101394,26785512.2297101,13000873.3865515,87273123.8216353,15663194.5140346,16107445.3634852,87827328.6039209
2022-02-16,1524208,16060289.0007547,25561908.8826471,12573171.9626264,84316411.616366,15417258.2405272,15537486.9246922,85150115.0112477
